id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-65	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-65_16k.wav:0:195989	12249	195989	<triplet> she <subj> her <obj> person identity <triplet> her <subj> her <obj> person identity <subj> her <obj> person identity	0	en
train-70	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-70_16k.wav:0:242057	15128	242057	<triplet> Alice <subj> she <obj> person identity <subj> her <obj> person identity <triplet> she <subj> her <obj> person identity <triplet> her <subj> she <obj> person identity <subj> her <obj> person identity <subj> Alice <obj> person identity	0	en
train-77	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-77_16k.wav:0:219394	13712	219394	<triplet> Al Hubbard <subj> chairman <obj> person title <subj> chairman of the National Economic Council <obj> person employee of <subj> National Economic Council <obj> person employee of	0	en
train-81	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-81_16k.wav:0:245772	15360	245772	<triplet> George Sheldon <subj> DCF <obj> person employee of <subj> Department of Children and Families <obj> person employee of	0	en
train-84	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-84_16k.wav:0:71158	4447	71158	<triplet> Deaver <subj> Deaver <obj> person identity <subj> he <obj> person identity <subj> chairman <obj> person title <subj> Deaver <obj> person identity <triplet> he <subj> his <obj> person identity	0	en
train-85	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-85_16k.wav:0:64471	4029	64471	<triplet> Trista <subj> she <obj> person identity <subj> 40 <obj> person age <subj> Trista <obj> person identity <subj> she <obj> person identity <triplet> she <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> she <obj> person identity <subj> she <obj> person identity <triplet> She <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> she <obj> person identity <triplet> she <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> She <obj> person identity <subj> she <obj> person identity <triplet> Trista <subj> she <obj> person identity <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> She <obj> person identity <subj> she <obj> person identity	0	en
train-87	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-87_16k.wav:0:197846	12365	197846	<triplet> Ferrara <subj> Bianconeri <obj> person employee of	0	en
train-89	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-89_16k.wav:0:209735	13108	209735	<triplet> Richard Lindzen <subj> professor <obj> person title <subj> MIT <obj> person employee of	0	en
train-90	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-90_16k.wav:0:116112	7257	116112	<triplet> she <subj> she <obj> person identity	0	en
train-92	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-92_16k.wav:0:217165	13572	217165	<triplet> Blackburn Rovers <subj> Blackburn <obj> organization alternate names	0	en
train-96	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-96_16k.wav:0:125400	7837	125400	<triplet> His <subj> his <obj> person identity <subj> Yoadimnadji <obj> person identity <triplet> Yoadimnadji <subj> his <obj> person identity <triplet> his <subj> His <obj> person identity <subj> Yoadimnadji <obj> person identity	0	en
train-97	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-97_16k.wav:0:108310	6769	108310	<triplet> Teddy Kollek <subj> Mayor <obj> person title	0	en
train-101	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-101_16k.wav:0:141374	8835	141374	<triplet> Goodman <subj> he <obj> person identity <triplet> his <subj> he <obj> person identity <subj> Andrew <obj> person identity <triplet> he <subj> his <obj> person identity <subj> Andrew <obj> person identity	0	en
train-103	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-103_16k.wav:0:299271	18704	299271	<triplet> FEC <subj> Trevor Potter <obj> organization top members employees	0	en
train-104	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-104_16k.wav:0:208620	13038	208620	<triplet> his <subj> Hugo Chavez <obj> person identity	0	en
train-107	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-107_16k.wav:0:171468	10716	171468	<triplet> SLDN <subj> C Dixon Osburn <obj> organization top members employees	0	en
train-109	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-109_16k.wav:0:184843	11552	184843	<triplet> ITW <subj> Glenview <obj> organization city of branch	0	en
train-113	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-113_16k.wav:0:211592	13224	211592	<triplet> George Young <subj> Holy Temple Baptist Church <obj> person employee of <subj> Rev. <obj> person title <subj> pastor <obj> person title	0	en
train-114	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-114_16k.wav:0:107938	6746	107938	<triplet> ABC <subj> ABC <obj> organization alternate names	0	en
train-115	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-115_16k.wav:0:333822	20863	333822	<triplet> Lorraine Rothman <subj> her <obj> person identity <triplet> her <subj> Lorraine Rothman <obj> person identity <subj> leader <obj> person title <subj> feminist health movement <obj> person employee of	0	en
train-116	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-116_16k.wav:0:148063	9253	148063	<triplet> Lashkar-e-Taiba <subj> Mumbai <obj> organization city of branch	0	en
train-125	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-125_16k.wav:0:231654	14478	231654	<triplet> his <subj> Chavez <obj> person identity	0	en
train-127	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-127_16k.wav:0:215308	13456	215308	<triplet> Jo Ann Davis <subj> Rep. <obj> person title <subj> U.S. <obj> person employee of <subj> House of Representatives <obj> person employee of	0	en
train-129	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-129_16k.wav:0:181499	11343	181499	<triplet> him <subj> McInerney <obj> person identity <subj> him <obj> person identity <subj> him <obj> person identity <subj> McInerney <obj> person identity	0	en
train-130	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-130_16k.wav:0:150292	9393	150292	<triplet> her <subj> Jennifer Buchanan <obj> person identity <subj> Nevaeh Buchanan <obj> person identity	0	en
train-21	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-21_16k.wav:0:236856	14803	236856	<triplet> Jennifer Dunn <subj> Northwest Republicans <obj> person employee of	0	en
train-139	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-139_16k.wav:0:171840	10740	171840	<triplet> Chinese Communist Party <subj> National Congress <obj> organization members	0	en
train-140	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-140_16k.wav:0:170354	10647	170354	<triplet> George Kennedy <subj> leader <obj> person title	0	en
train-142	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-142_16k.wav:0:222738	13921	222738	<triplet> her <subj> she <obj> person identity	0	en
train-146	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-146_16k.wav:0:151778	9486	151778	<triplet> Gillmor <subj> 5th District <obj> person employee of <subj> Congress <obj> person employee of	0	en
train-149	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-149_16k.wav:0:276980	17311	276980	<triplet> Korean Central News Agency <subj> North Korea <obj> organization country of branch	0	en
train-153	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-153_16k.wav:0:291840	18240	291840	<triplet> Robert M. Morgenthau <subj> Manhattan <obj> person employee of <triplet> his <subj> Manhattan <obj> person employee of	0	en
train-156	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-156_16k.wav:0:207506	12969	207506	<triplet> he <subj> he <obj> person identity	0	en
train-162	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-162_16k.wav:0:379519	23719	379519	<triplet> University of Ghent <subj> University of Ghent <obj> organization alternate names	0	en
train-163	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-163_16k.wav:0:156979	9811	156979	<triplet> IPSCO <subj> Canada <obj> organization country of branch <subj> United States <obj> organization country of branch	0	en
train-172	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-172_16k.wav:0:78217	4888	78217	<triplet> Mark Buse <subj> his <obj> person identity	0	en
train-178	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-178_16k.wav:0:168868	10554	168868	<triplet> Mainland Affairs Council <subj> Liu Te-shun <obj> organization top members employees	0	en
train-185	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-185_16k.wav:0:112767	7047	112767	<triplet> He <subj> he <obj> person identity <subj> him <obj> person identity <subj> he <obj> person identity <triplet> he <subj> He <obj> person identity <subj> him <obj> person identity <subj> he <obj> person identity <subj> he <obj> person identity <triplet> him <subj> he <obj> person identity <subj> He <obj> person identity <subj> he <obj> person identity <subj> he <obj> person identity <triplet> he <subj> He <obj> person identity <subj> him <obj> person identity <subj> he <obj> person identity <subj> he <obj> person identity <subj> him <obj> person identity <subj> He <obj> person identity <subj> he <obj> person identity <subj> he <obj> person identity	0	en
train-187	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-187_16k.wav:0:171840	10740	171840	<triplet> Manila Economic and Cultural Office <subj> MECO <obj> organization alternate names <triplet> MECO <subj> Manila Economic and Cultural Office <obj> organization alternate names	0	en
train-194	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-194_16k.wav:0:295184	18449	295184	<triplet> Taiwan Research Institute <subj> Taiwan <obj> organization country of branch <subj> TRI <obj> organization alternate names	0	en
train-204	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-204_16k.wav:0:148063	9253	148063	<triplet> Czech National Bank <subj> Zdenek Tuma <obj> organization top members employees <subj> Czech Republic <obj> organization country of branch	0	en
train-205	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-205_16k.wav:0:118713	7419	118713	<triplet> he <subj> Fuller <obj> person identity	0	en
train-207	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-207_16k.wav:0:156236	9764	156236	<triplet> Dewey <subj> his <obj> person identity <triplet> his <subj> Dewey <obj> person identity	0	en
train-212	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-212_16k.wav:0:134316	8394	134316	<triplet> Manila Economic and Cultural Office <subj> MECO <obj> organization alternate names <triplet> MECO <subj> Manila Economic and Cultural Office <obj> organization alternate names <subj> Amadeo Perez Jr. <obj> organization top members employees	0	en
train-219	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-219_16k.wav:0:260633	16289	260633	<triplet> Julian Bond <subj> National Association for the Advancement of Colored People <obj> person employee of	0	en
train-225	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-225_16k.wav:0:176298	11018	176298	<triplet> Philip Chen <subj> Cathay Pacific <obj> person employee of <subj> Director <obj> person title <subj> Cathay Pacific <obj> person employee of	0	en
train-240	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-240_16k.wav:0:115740	7233	115740	<triplet> KKL <subj> Kinmen Kaoliang Liquor <obj> organization alternate names	0	en
train-242	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-242_16k.wav:0:216422	13526	216422	<triplet> his <subj> army <obj> person employee of <subj> general <obj> person title	0	en
train-244	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-244_16k.wav:0:152521	9532	152521	<triplet> McNair <subj> he <obj> person identity <triplet> he <subj> McNair <obj> person identity	0	en
train-248	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-248_16k.wav:0:223109	13944	223109	<triplet> Fyffes <subj> David McCann <obj> organization top members employees	0	en
train-250	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-250_16k.wav:0:317104	19819	317104	<triplet> Hashim Ahmad al-Tai <subj> Sultan <obj> person title <subj> minister <obj> person title <subj> Iraqi <obj> person origin <subj> Iraqi <obj> person employee of	0	en
train-252	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-252_16k.wav:0:353883	22117	353883	<triplet> MAC <subj> Department of Legal Affairs <obj> organization members	0	en
train-253	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-253_16k.wav:0:155864	9741	155864	<triplet> Kelly Cutrone <subj> MTV <obj> person employee of	0	en
train-263	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-263_16k.wav:0:216794	13549	216794	<triplet> Montag <subj> Montag <obj> person identity	0	en
train-264	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-264_16k.wav:0:222738	13921	222738	<triplet> Haifa University <subj> Israel <obj> organization country of branch	0	en
train-265	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-265_16k.wav:0:178527	11157	178527	<triplet> His <subj> his <obj> person identity <subj> him <obj> person identity <subj> him <obj> person identity <triplet> him <subj> His <obj> person identity	0	en
train-270	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-270_16k.wav:0:215308	13456	215308	<triplet> Abrams <subj> he <obj> person identity <triplet> him <subj> his <obj> person identity <triplet> he <subj> Abrams <obj> person identity <subj> his <obj> person identity	0	en
train-273	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-273_16k.wav:0:257661	16103	257661	<triplet> Paul Gillmor <subj> Rep. <obj> person title	0	en
train-277	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-277_16k.wav:0:221252	13828	221252	<triplet> Lashkar-e-Taiba <subj> India <obj> organization country of branch	0	en
train-280	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-280_16k.wav:0:249487	15592	249487	<triplet> Ahmad Qattan <subj> he <obj> person identity <subj> representative <obj> person title <subj> Saudi <obj> person origin <subj> Saudi <obj> person employee of <subj> Arab League <obj> person employee of <subj> his <obj> person identity	0	en
train-285	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-285_16k.wav:0:229054	14315	229054	<triplet> she <subj> US <obj> person origin	0	en
train-289	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-289_16k.wav:0:126886	7930	126886	<triplet> Hussein Kamel <subj> he <obj> person identity <subj> 21 <obj> person age	0	en
train-293	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-293_16k.wav:0:132459	8278	132459	<triplet> Project Islamic Hope <subj> Najee Ali <obj> organization top members employees	0	en
train-295	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-295_16k.wav:0:171840	10740	171840	<triplet> American Bar Association <subj> Commission on Youth <obj> organization members <subj> Karen Mathis <obj> organization top members employees	0	en
train-301	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-301_16k.wav:0:99022	6188	99022	<triplet> Carson <subj> Indianapolis City-County Council <obj> person employee of	0	en
train-302	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-302_16k.wav:0:215679	13479	215679	<triplet> Mia Farrow <subj> UN <obj> person employee of	0	en
train-306	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-306_16k.wav:0:110911	6931	110911	<triplet> FirstGroup <subj> U.S. <obj> organization country of branch	0	en
train-311	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-311_16k.wav:0:232026	14501	232026	<triplet> Juanita Millender-McDonald <subj> Committee on House Administration <obj> person employee of	0	en
train-313	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-313_16k.wav:0:203047	12690	203047	<triplet> Servicemembers Legal Defense Network <subj> SLDN <obj> organization alternate names	0	en
train-320	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-320_16k.wav:0:245772	15360	245772	<triplet> St. Anselm College <subj> Manchester <obj> organization city of branch	0	en
train-324	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-324_16k.wav:0:179642	11227	179642	<triplet> Adam <subj> Dolce Gabbana <obj> person employee of <subj> his <obj> person identity <triplet> his <subj> Dolce Gabbana <obj> person employee of <subj> Adam <obj> person identity	0	en
train-325	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-325_16k.wav:0:170724	10670	170724	<triplet> his <subj> Gibson <obj> person identity	0	en
train-326	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-326_16k.wav:0:147320	9207	147320	<triplet> She <subj> she <obj> person identity <subj> she <obj> person identity <subj> her <obj> person identity <triplet> she <subj> her <obj> person identity <triplet> her <subj> she <obj> person identity <subj> she <obj> person identity <subj> She <obj> person identity	0	en
train-327	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-327_16k.wav:0:241685	15105	241685	<triplet> she <subj> her <obj> person identity <subj> her <obj> person identity <subj> her <obj> person identity <triplet> her <subj> she <obj> person identity <subj> her <obj> person identity <subj> her <obj> person identity <subj> her <obj> person identity <subj> she <obj> person identity <subj> her <obj> person identity <subj> she <obj> person identity <subj> her <obj> person identity <subj> Katarina <obj> person identity	0	en
train-329	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-329_16k.wav:0:340510	21281	340510	<triplet> Myanmar Timber Enterprise <subj> MTE <obj> organization alternate names	0	en
train-333	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-333_16k.wav:0:261747	16359	261747	<triplet> JEM <subj> JEM <obj> organization alternate names	0	en
train-334	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-334_16k.wav:0:190043	11877	190043	<triplet> Sandy <subj> his <obj> person identity	0	en
train-336	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-336_16k.wav:0:229797	14362	229797	<triplet> Carnival Corp. <subj> Carnival Cruise Lines <obj> organization members	0	en
train-339	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-339_16k.wav:0:306701	19168	306701	<triplet> her <subj> her <obj> person identity	0	en
train-342	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-342_16k.wav:0:263977	16498	263977	<triplet> Disney <subj> Shanghai Disneyland <obj> organization members	0	en
train-353	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-353_16k.wav:0:112767	7047	112767	<triplet> Bryan Baldwin <subj> spokesman <obj> person title	0	en
train-354	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-354_16k.wav:0:368373	23023	368373	<triplet> he <subj> he <obj> person identity <subj> Jake <obj> person identity <triplet> she <subj> her <obj> person identity <triplet> her <subj> she <obj> person identity	0	en
train-359	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-359_16k.wav:0:223109	13944	223109	<triplet> Huber <subj> 57 <obj> person age <subj> his <obj> person identity <subj> he <obj> person identity <triplet> his <subj> 57 <obj> person age <subj> Huber <obj> person identity <subj> he <obj> person identity <triplet> he <subj> his <obj> person identity <subj> Huber <obj> person identity <subj> 57 <obj> person age	0	en
train-366	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-366_16k.wav:0:339766	21235	339766	<triplet> CPS <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> CPS <obj> organization alternate names <subj> Physical Abuse CPS <obj> organization alternate names	0	en
train-374	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-374_16k.wav:0:248744	15546	248744	<triplet> Gonzales <subj> Texas <obj> person employee of	0	en
train-378	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-378_16k.wav:0:287382	17961	287382	<triplet> Daily News <subj> Zimbabwe <obj> organization country of branch	0	en
train-379	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-379_16k.wav:0:161066	10066	161066	<triplet> Asian Development Bank <subj> ADB <obj> organization alternate names	0	en
train-380	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-380_16k.wav:0:131716	8232	131716	<triplet> IPSCO <subj> Canada <obj> organization country of branch	0	en
train-384	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-384_16k.wav:0:280323	17520	280323	<triplet> Royal Caribbean <subj> Freedom of the Seas <obj> organization members	0	en
train-389	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-389_16k.wav:0:80075	5004	80075	<triplet> National Beef Packing Co. <subj> U.S. <obj> organization country of branch	0	en
train-396	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-396_16k.wav:0:163666	10229	163666	<triplet> FMF <subj> FMF <obj> organization alternate names <subj> FMF <obj> organization alternate names	0	en
train-398	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-398_16k.wav:0:236856	14803	236856	<triplet> Derounian <subj> he <obj> person identity <triplet> he <subj> Derounian <obj> person identity	0	en
train-405	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-405_16k.wav:0:193388	12086	193388	<triplet> Al Hubbard <subj> businessman <obj> person title <subj> National Economic Council <obj> person employee of	0	en
train-414	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-414_16k.wav:0:250230	15639	250230	<triplet> his <subj> his <obj> person identity	0	en
train-422	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-422_16k.wav:0:189301	11831	189301	<triplet> he <subj> he <obj> person identity <subj> actor <obj> person title <subj> Scheider <obj> person identity <subj> Air Force <obj> person employee of <subj> Air Force <obj> person employee of	0	en
train-426	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-426_16k.wav:0:379519	23719	379519	<triplet> Don Wildmon <subj> American Family Association <obj> person employee of <subj> `` Forgotten Americans Coalition <obj> person employee of	0	en
train-427	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-427_16k.wav:0:148434	9277	148434	<triplet> OUP <subj> OUP <obj> organization alternate names <subj> OUP <obj> organization alternate names <subj> OUP <obj> organization alternate names	0	en
train-429	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-429_16k.wav:0:120942	7558	120942	<triplet> IMF <subj> Dominique Strauss-Kahn <obj> organization top members employees	0	en
train-433	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-433_16k.wav:0:122428	7651	122428	<triplet> He <subj> his <obj> person identity <triplet> his <subj> Shaukatullah <obj> person identity <subj> He <obj> person identity	0	en
train-434	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-434_16k.wav:0:250973	15685	250973	<triplet> Juanita Millender-McDonald <subj> her <obj> person identity <subj> House Administration Committee <obj> person employee of <subj> she <obj> person identity <triplet> her <subj> House Administration Committee <obj> person employee of <subj> Rep. <obj> person title <subj> she <obj> person identity <triplet> she <subj> her <obj> person identity <subj> her <obj> person identity <subj> chairman <obj> person title <triplet> her <subj> she <obj> person identity <subj> chairman <obj> person title <subj> her <obj> person identity <subj> Rep. <obj> person title	0	en
train-443	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-443_16k.wav:0:174812	10925	174812	<triplet> Lindsay M Hayes <subj> specialist <obj> person title	0	en
train-446	/home/yli/ye17/guitao/workplace/IWSLT/Datasets/tacred/train_0-9999/train-446_16k.wav:0:298528	18658	298528	<triplet> opposition party <subj> Angola <obj> organization country of branch	0	en
